Telegram N,Issue Id,Summary,Role,Location,Technologies,Team,Description,,,
23,VAC-018,Senior Software Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia","Java, C#",TeamCity,"""
## Senior Software Developer TeamCity is a popular continuous integration and build management server used by thousands of developers throughout the world. This server application is built using the J2EE technology and allows running multiple builds and tests under different platforms and environments simultaneously. 
* As a team member, you will:*
 -  Improve the support for .NET technologies in TeamCity making the product more powerful for .NET developers.
 -  Provide technical support for TeamCity customers. 
* We are looking for an expert who is:*
 -  Highly skilled in both Java and .NET
 -  Able to take responsibility for developing components/subsystems of the complicated server product.
 -  Well-informed about the .NET technologies world and capable of analyzing new trends of the whole ecosystem. 
*Requirements:*
 -  Experience in developing complicated systems using .NET and Java.
 -  Excellent knowledge and great expertise in using .NET development tools: NuGet, TFS, MSBuild, unit testing frameworks, coverage tools etc.
 -  Deep understanding of OOP.
 -  Understanding of the client-server applications architecture.
 -  Ability to optimize and refactor other people's code as well as your own.
 -  Responsibility, self-motivation, and self-discipline.
 -  Ability and desire to work efficiently without direct supervision.
 -  Ability to work in a distributed team (Saint Petersburg, Munich, Prague, Moscow).
 -  Excellent communication skills.
 -  Good command of spoken and written English. 
*Preferable:*
 -  Experience in developing your own projects or participation in open-source projects (web links in your CV are very welcome).
 -  Experience with TeamCity or other Continuous Integration tools.
 -  Experience in working remotely. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
24,VAC-027,Senior Software Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia","Java, C++, Objective-C, Swift",AppCode,"""
## Senior Software Developer AppCode is an IDE for iOS and macOS development; it supports Swift, Objective-C, as well as C/C++ languages. 
* Among the tasks we have at hands are:*
 -  Swift and Objective-C languages support: auto-completion, problematic code highlighting, refactorings and code-generation.
 -  Running and debugging on devices and simulators (iOS, watchOS, tvOS).
 -  Adding unit testing frameworks: XCTest, Kiwi, Specta, Quick - tests running, as well as features like navigation between tests and test generation. 
*Together with the team you will:*
 -  Advance AppCode as a product, take part in discussions and development of new features.
 -  Extend Swift and Objective-C languages support; develop code analysis tools and refactorings.
 -  Improve running and debugging of macOS and iOS applications.
 -  Support new unit testing frameworks.
 -  Improve project model support and integration with Xcode. 

* We'll be happy to see you as a part of the team if you:*
 -  Have at least 3 years of Java development experience in commercial products.
 -  Know how to write thread-safe code.
 -  Familiar with algorithms and data structures.
 -  Understand principles of OOP and can create extensible API.
 -  Know how to automatically test your code.
 -  Able to work efficiently as a part of a team and independently. 
*We'll be especially glad if you:*
 -  Familiar with macOS.
 -  Have hands-on experience with iOS or macOS development using Swift or Objective-C.
 -  Developed plugins for IntelliJ IDEA, Eclipse, or NetBeans. 
* How we develop AppCode: AppCode is based on the IntelliJ platform - a foundation for many JetBrains products, such as IntelliJ IDEA, WebStorm, PhpStorm, RubyMine, PyCharm, CLion. The source code is stored in Git repositories, some of which are available on [GitHub](https://github.com/jetbrains/intellij-community). Most of the code is written in Java, some in Groovy and [Kotlin](http://kotlinlang.org/); low-level libraries use C/C++ (for instance, LLDB integration). The code is covered by [automated tests](https://www.jetbrains.com/teamcity/), [peer-reviewed](https://www.jetbrains.com/upsource/) and extensively tested by QA. Thanks to this, we keep the quality of the product and avoid regressions. The development process is fully transparent: team members can take part in any task, always participate in feature discussions and version planning. And to better understand our users' needs all team communicates with them in forums, [issue tracker](https://youtrack.jetbrains.com/issues/OC) and during conferences, discuss suggestions and help with problems. Listening to the users and communicating with them openly is one of the most important parts of the JetBrains culture. *
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
25,VAC-031,Senior Software Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Kotlin,New Product,"""
## Senior Software Developer (New Product) We are developing a new ambitious project for developer teams. JetBrains is known all over the world for IntelliJ IDEA, the best development environment for Java and other programming languages, ​​and ReSharper, the most popular extension for Microsoft Visual Studio. A new server product will become an analog of an IDE as applied to teams. The functionality of the upcoming solution will include working with repositories, continuous integration and tools to increase personal and team efficiency. We develop the product in our own programming language, Kotlin, and use compilation in JVM and JavaScript. Some of the frameworks that we use are developed by our colleagues (Exposed, Ktor) and are publicly available. We are looking for talented and passionate developers to join our team. 

* You will enjoy being on our team if you:*
 -  Want to get engaged in creating brand new tools for developer teams.
 -  Thrive in a startup atmosphere.
 -  Enjoy working on a strong team.
 -  Want to be on the cutting edge of technology.
 -  Are willing to join the project at the start and take product-defining decisions. 
*We'll be happy to have you on our team if you:*
 -  Have at least 5 years of experience in Java development.
 -  Can solve complex problems in real-life environment. 

* and/or*
 -  Have strong knowledge of algorithms and data structures.
 -  Have the ability to create simple and powerful architectural solutions.
 -  Have the ability to quickly understand the peculiarities of numerous technologies.
 -  Are an expert in one of the following areas:
 -  Creation of highly loaded server solutions with high degree of fault tolerance and scalability.
 -  Creation of full-stack applications supporting complex client status (offline, poor connection, optimistic updates, live updates, stateless server, etc ...). 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
26,VAC-080,Senior Software Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",C#,ReSharper,"""
## Senior Software Developer We on the ReSharper team are looking for talented people who are eager to share their expertise with thousands of developers and make a difference in the software industry. We strive to help developers work with pleasure and be more productive, by using smart products that take care of the routine tasks and let them focus on the creative processes. 
* Don't hesitate to apply if you:*
 -  Want to improve ReSharper and know how you would go about it.
 -  Enjoy solving complex and challenging tasks.
 -  Are great at algorithms, design, architecture, or technologies.
 -  Know C#, VB, or JavaScript/TypeScript.
 -  Have strong teamwork skills (are open to diverse viewpoints and can support your opinion with sound reasoning).
 -  Are willing to grow as a professional, explore, and apply new approaches and technologies.
 -  Are familiar with compiler development and code analysis. 
* The interview will challenge you, but it's worth trying because at JetBrains you will find:*
 -  A team of passionate individuals: dreamers, perfectionists, thinkers, and enthusiasts.
 -  A process where your ideas are always welcome. From day one, you will not just write code, but help make the product. You will communicate with users, invent new features, work on the architecture, take care of the UX, integrate into the community, and spread knowledge.
 -  A creative environment where your contribution can really make a difference. We believe that unique products are made by unique people.
 -  Beautiful software that matches the beauty of the source code. We appreciate beauty.
 -  An opportunity to choose your preferred subject area to work on. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
27,VAC-104,Senior Software Developer (Kotlin IDE),Software Developer,"St. Petersburg, Russia","Kotlin, Java",Kotlin,"""
## Senior Software Developer Kotlin is a modern programming language targeting the Java virtual machine, Android platform, JavaScript, and Native via LLVM. Launched in 2016, the language is rapidly gaining popularity and now has official support in Android platform, Spring Framework 5, vert.x and Gradle. The project is based on pragmatic principles: a convenient range of tools (IDE, build tools, etc.), compatibility, code supportability, and easy learning of the language. Our job is to make users happier, rather than to pursue exploratory tasks. Kotlin is becoming increasingly popular, and we are striving to provide the community with the smartest tools for Kotlin development. 
* We will be happy to have you on our team if you:*
 -  Enjoy solving challenging problems
 -  Want to make development of applications in Kotlin more convenient and have an insight how to do it;
 -  Have at least 3 years of experience in Java/Kotlin programming;
 -  Can design and write code which is easy to read and support;
 -  Understand the algorithms behind the code you write;
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning;
 -  Are willing to grow as a professional, mater and try new approaches and technologies;
 -  Take pride in the work you do; 
*What tasks we have in store:*
 -  Have participated in open source projects or developed projects of your own;
 -  Know other programming languages and paradigms (Haskell, Python, Scala, Ruby, etc.);
 -  Are familiar with compiler development and code analysis technologies. 
*  What tasks we tackle:*
 -  The tasks our developers deal with can be broken down into two categories:
 -  Tasks related to processing big volumes of source code. The IDE must process the code on the fly, highlight errors, suggest auto-completion options, ensure quick navigation between the related elements, support automated refactorings.
 -  Tasks related to the integration of the IDE with external systems like compilers, debuggers, version control systems, code generating or containerizing tools. It must be convenient for the user to work with all of these tools without leaving the IDE.
 -  You may take on the task of improving any of the subsystems or develop new features of your own design. 
* How we develop Kotlin:*
 -  The source code is stored in Git repositories, some of which are available on [GitHub](https://github.com/JetBrains/kotlin-native).
 -  Most of the source code is written in Java 8, some in Groovy, more and more code is being written in Kotlin;
 -  For effective teamwork, we use our own products: [TeamCity](https://teamcity.jetbrains.com/acceptTermsOfServices.html?agreement=hosted&proceedUrl=%2Fprofile.html) for test auto-running and product building, [YouTrack](https://youtrack.jetbrains.com/issues/KT) for tracking bugs and features 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
28,VAC-129,Senior Software Developer,Software Developer,"St. Petersburg, Russia",No technologies,PhpStorm,"""
## Senior Software Developer (PhpStorm) PhpStorm is the smartest PHP IDE, developed with passion and dedication at JetBrains. With the first version released in 2010, PhpStorm gets major updates three times year. Today, PhpStorm is the most popular PHP IDE, making 600,000 developers across the globe more productive. 
* We will be happy to have you on our team if you:*
 -  Enjoy solving complex and challenging tasks.
 -  Want to improve PhpStorm and know how to do it.
 -  Have at least 5 years of experience in Java development.
 -  Can design and write code that is easy to read and maintain.
 -  Understand the algorithms behind the code you write.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Want to grow as a professional, to master and apply new approaches and technologies.
 -  Take pride in the work you do. 
* We’d be especially thrilled if you:*
 -  Have contributed to open-source projects or have developed projects of your own.
 -  Know other programming languages and paradigms (Haskell, Python, Scala, Ruby, etc.).
 -  Are familiar with compiler development and code analysis technologies. 
* What tasks we tackle:* 
The tasks our developers deal with can be broken down into two categories:
 -  Tasks related to processing big volumes of source code. The IDE must analyze the code on the fly, highlight errors, suggest autocompletion options, ensure quick navigation between related elements, and support automated refactorings.
 -  Tasks related to the integration of the IDE with external tools like package management systems, code generating or containerizing tools. It must be convenient for the user to work with all of those tools without leaving the IDE. You may take on the task of improving any of the subsystems or develop new features of your own design. 

*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
29,VAC-131,Senior Software Developer,Software Developer,"St. Petersburg, Russia",No technologies,WebStorm,"""
## Senior Software Developer (WebStorm) WebStorm is a smart IDE for modern JavaScript development. Launched in 2010, WebStorm gets major updates three times a year. Today, the WebStorm functionality is bundled into most of the commercial products based on the IntelliJ Platform, and the IDE is used by more than 300,000 developers worldwide. Among our customers are Angular, Yahoo and BMW. 
* We will be happy to have you on our team if you:*
 -  enjoy solving complex and challenging tasks;
 -  want to improve WebStorm and know how to do it;
 -  have at least 5 years of experience in Java development;
 -  can design and write code that is easy to read and maintain;
 -  understand the algorithms behind the code you write;
 -  have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning;
 -  are willing to grow as a professional, to master and apply new approaches and technologies;
 -  take pride in the work you do. 
* We’d be especially thrilled if you:*
 -  have contributed to open-source projects or have developed projects of your own;
 -  know other programming languages and paradigms (Haskell, Python, Scala, Ruby, etc.);
 -  understand the subject area (JavaScript, Angular, React, etc.);
 -  are familiar with compiler development and code analysis technologies. 
* The tasks our developers deal with can be broken down into two categories:*
 -  Tasks related to processing big volumes of source code. The IDE must analyze the code on the fly, highlight errors, suggest autocompletion options, ensure quick navigation between related elements, and support automated refactorings.
 -  Tasks related to the integration of the IDE with external tools like package management systems, code generating or containerizing tools. It must be convenient for the user to work with all of those tools without leaving the IDE. You may take on the task of improving any of the subsystems or develop new features of your own design. 
* How we develop WebStorm:*
 -  Most of the source code is stored in a private Git repository, but some of the functionality, such as Angular and VueJS support or TSLint integration, is available as open source code.
 -  Working on integration with external tools involves communicating with their developers and making changes to the code of those tools.
 -  Over 13,000 functional tests have been written for the testing of technologies supported by WebStorm, and we are working on more advanced automation solutions for integration tests.
 -  For effective team collaboration, we use JetBrains products: Upsource for code review, TeamCity for test auto-running and product building, YouTrack for bug tracking and feature management.""",,,
30,VAC-159,Senior Software Developer (Kotlin Libraries Team),Software Developer,"St. Petersburg, Russia",Kotlin,Kotlin,"""
## Senior Software Developer (Kotlin Libraries Team) Kotlin is a modern programming language targeting the Java, Android, JavaScript and Native platforms. Released in 2016, the language is rapidly gaining popularity across the globe. Kotlin is designed to be pragmatic: best tooling support (an IDE, build tools, etc), compatibility, code supportability, and easy learning of the language. Our team works hard to make our users happier. We support JVM bytecode, JavaScript, and LLVM, and their libraries. We pay special attention to cross-platform development. 
*About the project:*
 -  Developers interact with users directly via YouTrack, Slack, GitHub and on the forum.
 -  Most of the new code is written in Kotlin.
 -  The project is developed on GitHub under Apache License 2.0. 
*Your role will involve:*
 -  Support and development of multiplatform Kotlin libraries.
 -  Development of user-friendly API and documentation. 
*Requirements:*
 -  Ability to solve complex tasks.
 -  At least 4 years of experience in commercial development.
 -  Experience in support and development of open source libraries.
 -  Good command of written English.
 -  Ability to design and write code that is easy to read and maintain.
 -  Knowledge of basic algorithms and data structures.
 -  Strong teamwork skills. 
*Preferable:*
 -  Programming experience in Java, Kotlin, or other JVM languages.
 -  Familiarity with JVM bytecode.
 -  Experience with JavaScript or LLVM. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
31,VAC-182,Senior Software Developer,Software Developer,"St. Petersburg, Russia","Kotlin, Java, Swift, Сompilers",MPS,"""
## Senior Software Developer (MPS) We are seeking an experienced Senior Software Developer to join our MPS team. MPS (Meta Programming System) is an open-source language workbench that focuses on Domain-specific Languages. MPS has been present in the JetBrains product portfolio ever since 2009 and has been a key player in the language engineering and metamodelling industries. The MPS development team is focused on delivering innovative solutions to our customers. 
*As part of our team, you will:*
 -  Develop new and support various existing subsystems of MPS
 -  Have a chance to take part in the development of the unique Projectional Editor framework - one of the core components of MPS
 -  Be involved in DSL development and usage in your day-by-day activities except for classical java programming 
*  We'll be happy to see you as a part of the team if you have:*
 -  5 + years of working experience in Java programming
 -  Deep understanding of OOP
 -  Knowledge of basic algorithms and data structures
 -  Experience in Swing UI development
 -  General mathematical knowledge Multithread programming experience
 -  Ability to optimize and refactor other people's code as well as your own
 -  Fluent English 
* We'll be especially glad if you have:*
 -  Experience in IDE development
 -  Experience with DSL
 -  Knowledge of other programming languages (Kotlin, Groovy, Haskell, Scala, Objective C etc.)
 -  Experience in working with code generation systems 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
32,VAC-228,Senior Software Developer (new product for QA),Software Developer,"St. Petersburg, Russia, Moscow, Russia",No technologies,New Product,"""
## Senior Software Developer with passion for QA We are JetBrains, a leading software company. For over 15 years we have strived to make the strongest, most effective developer tools on earth. Our tools speed up production, freeing developers around the world to grow, discover and create. At JetBrains, we've decided to reconsider how developer teams approach testing, and we are now working on a new product designed to make the process of testing more flexible and easy. We are looking for someone familiar with QA problems and passionate about solving these problems within desktop, web or mobile tools.
* How we work:*
 -  All the source code is in Kotlin.
 -  We work with the latest technologies.
 -  We invent new features and take product decisions independently.
 -  We learn from our colleagues.
 -  We use JetBrains products: YouTrack for task management, TeamCity for CI, Upsource for code review.
 -  We work in an Agile atmosphere. 
*Working with us will fit your interests if you:*
 -  Want to develop in Kotlin.
 -  Are interested in desktop, web or mobile development
 -  Enjoy solving non-trivial tasks.
 -  Want to take product decisions and shape the product vision.
 -  Want to bring your ideas to life.
 -  Want to create a new project from scratch.
 -  Are familiar with QA problems and have ideas on how to solve them. 
*What we expect from you:*
 -  Experience in Java, C#, or Kotlin development.
 -  Ability to solve complex tasks.
 -  Knowledge of algorithms and data structures.
 -  Ability to quickly get a grip on numerous technologies.
 -  Experience of working with QA engineers. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
33,VAC-020,Senior Java Developer,Software Developer,"St. Petersburg, Russia, Novosibirsk, Russia","Java, Big Data Stack",DataGrip,"""
## Senior Java Developer DataGrip is JetBrains’ new IDE for databases, first released in December 2016. The DataGrip team is currently in need of a senior software developer. 
* We'll be happy to see you as a part of the team if you:*
 -  Are familiar with JetBrains products and want to improve them.
 -  Love coding and take pride in your work.
 -  Can support your opinions with sound reasoning.
 -  Write clear code and maintain it.
 -  Have coded Java for the last 3 years.
 -  Have experience with databases and query languages.
 -  Have participated in open source projects.
 -  Know additional programming languages and are aware of software development paradigms.
 -  Are familiar with how compilers are created and how code analysis is conducted. Please share your Github or Bitbucket profile when you apply. 
* About DataGrip:*
 -  There are two types of tasks: source code analysis and integration with third-party tools. You can choose among several subsystems, and it’s up to you what exactly you will develop there.
 -  Source code is written in Java, Groovy, and Kotlin.
 -  Functionality tests are created for several subsystems at a time. TeamCity runs the tests continuously. We also use Docker.
 -  We communicate with our users directly. If a bug happens to stop a user’s working process, we fix it in a day and send a personal edition to the customer. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
34,VAC-115,Senior Java Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Java,RubyMine,"""
## Senior Java Developer RubyMine is a smart Ruby and Ruby on Rails IDE. Launched in 2008, it was the first language-specific IDE based on the IntelliJ platform, and we've been putting our heart and soul into making RubyMine an enjoyable experience for developers across the globe. Among our customers are Twitter, NASA, and New Relic. 
* We will be happy to have you on our team if you:*","* Can design and write code that is easy to read and maintain.
 -  Understand the algorithms behind the code you write.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Want to grow as a professional, to master and apply new approaches and technologies.
 -  Feel proud of the work you do. 
* We’d be especially thrilled if you:*
 -  Have contributed to open-source projects or have developed projects of your own.
 -  Know other programming languages and paradigms (Haskell, Python, Scala, Ruby, etc.).
 -  Familiar with compiler development and code analysis technologies. 
*  What tasks we tackle:* The tasks our developers deal with can be broken down into two categories:
 -  Tasks related to processing big volumes of source code. The IDE must analyze the code on the fly, highlight errors, suggest autocompletion options, ensure quick navigation between related elements, and support automated refactorings.
 -  Tasks related to the integration of the IDE with external tools like version control systems, code generating or containerizing tools. It must be convenient for the user to work with all of those tools without leaving the IDE. You may take on the task of improving any of the subsystems or develop new features of your own design. 
* How we develop RubyMine:*
 -  The source code is stored in Git repositories, some of which are available on GitHub (https://github.com/JetBrains/intellij-community).
 -  Most of the source code is written in Java 8, some in Groovy, more and more code is being written in Kotlin.","* For effective team collaboration, we use JetBrains products: Upsource for code review, TeamCity for test auto-running and product building, YouTrack for bug tracking and feature management.","* Working on integration with external tools involves communicating with their developers and making changes to the code of those tools, most of which are written in Ruby, while some are in C (e.g. debugger). 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes."""
35,VAC-147,Senior Java Developer,Software Developer,"St. Petersburg, Russia",Java,TeamCity,"""
## Senior Java Developer (TeamCity) JetBrains is a world-leading vendor of professional software development tools. We strive to help developers work with pleasure and be more productive, by using smart products that take care of the routine tasks and let them focus on the creative processes. To achieve this goal, we are looking for talented, dedicated, and creative individuals. 
*Your role will involve:*
 -  Improving TeamCity integration with different IDEs (IntelliJ IDEA and Eclipse).
 -  Developing TeamCity REST API ensuring its compatibility with the IDE plugins.
 -  Solving issues related to plugin compatibility. 
*  Minimum Qualifications::*
 -  3+ years of Java programming experience in commercial projects.
 -  Deep understanding of OOP.
 -  Understanding of/experience in designing client-server applications.
 -  Experience in API design (REST, libraries, etc.).
 -  Ability to optimize and refactor other people's code as well as your own.
 -  Experience in UI design.
 -  Responsibility, independence, self-discipline.
 -  Strong teamwork skills. 
*Preferable:*
 -  Experience in plugin development for Eclipse, IDEA.
 -  Experience with TeamCity. Please tell us in your cover letter what improvements you would like to bring to TeamCity.""",,,
36,VAC-191,Senior Java/Kotlin Developer (Cloud integration),Software Developer,"St. Petersburg, Russia, Moscow, Russia",No technologies,Data Science Tools,"""
## Senior Java/Kotlin Developer (Cloud integration) We are developing a new product for working with big data — an integrated development environment (IDE) for technologies such as Apache Spark and Apache Hadoop, as well as cloud solutions. 
* What tasks does our product perform?*
 -  Coding assistance. The IDE must analyze the code on the fly, highlight errors, suggest autocompletion options, ensure quick navigation between related elements, and support automated refactorings.
 -  Tasks associated with running the program: debugging, profiling, test running, deployment in the cloud, code execution in Apache Zeppelin and other systems for interactive code execution. All that is possible thanks to integration with existing remote execution tools.
 -  Integration of the IDE with third-party tools and libraries for data analysis and cluster computing (Apache Spark, Apache Hadoop, etc.). It must be convenient for the user to work with those tools without leaving the IDE.
 -  Using data for code analysis and providing hints based on data.
 -  Data processing and visualization. 
*As part of our distributed team you will:*
 -  Take part in the making of a new product and discussing its new functionality.
 -  Work on the integration of the IDE with existing cloud services, such as Amazon AWS and Microsoft Azure.
 -  Improve the support for application running, debugging, and profiling. 
*We'll be happy to have you on our team if you:*
 -  Have at least 2 years of experience in Java/Kotlin development.
 -  Have experience with Amazon, Microsoft, and Google cloud technologies.
 -  Can design and write code that is easy to read and maintain.
 -  Can work both in a team and independently.
 -  Want to grow as a professional, to master and apply new approaches and technologies.
 -  Enjoy solving complex and challenging tasks.
 -  Take pride in the work you do. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region. If you want to develop an IDE for big data and grow as a professional, apply now!""",,,
